               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.021497,           0.0052874,           0.0095859,             0.79397,             0.78787,              0.8247,             0.54824,            0.020112,           0.0045723,            0.016026,           0.0064389,           0.0064389,           0.0064389
                  95,            0.021307,           0.0052377,           0.0084905,             0.79587,              0.7874,             0.82518,             0.54894,            0.020144,           0.0045689,            0.016037,           0.0063764,           0.0063764,           0.0063764
                  96,            0.021239,           0.0052396,           0.0090734,             0.79224,             0.78942,             0.82565,             0.54966,            0.020171,           0.0045685,            0.016063,           0.0063138,           0.0063138,           0.0063138
                  97,            0.021523,           0.0052534,           0.0085603,             0.79068,             0.79303,             0.82603,             0.55049,            0.020109,           0.0045687,            0.016065,           0.0062512,           0.0062512,           0.0062512
                  98,            0.021383,           0.0052743,           0.0088497,             0.79099,             0.79397,             0.82721,              0.5515,            0.020122,           0.0045657,            0.016064,           0.0061884,           0.0061884,           0.0061884
                  99,            0.021268,           0.0052542,           0.0087665,             0.79246,             0.79355,             0.82732,             0.55166,            0.020115,           0.0045612,            0.016086,           0.0061256,           0.0061256,           0.0061256
                 100,              0.0212,           0.0052673,           0.0088299,             0.79241,             0.79301,             0.82735,             0.55254,            0.020098,             0.00456,            0.016101,           0.0060628,           0.0060628,           0.0060628
                 101,            0.021025,           0.0052227,           0.0085467,             0.79079,             0.79193,             0.82653,             0.55289,            0.020082,           0.0045586,            0.016114,               0.006,               0.006,               0.006
                 102,            0.020957,           0.0052141,           0.0084338,             0.79038,             0.79224,             0.82645,              0.5532,            0.020076,           0.0045564,            0.016149,           0.0059372,           0.0059372,           0.0059372
                 103,            0.020653,           0.0051796,           0.0080673,             0.76432,             0.82232,             0.82766,             0.55425,            0.020071,           0.0045534,            0.016162,           0.0058744,           0.0058744,           0.0058744
                 104,            0.020839,           0.0051784,           0.0076708,             0.76472,             0.82563,              0.8279,              0.5543,            0.020046,           0.0045552,            0.016187,           0.0058116,           0.0058116,           0.0058116
                 105,            0.020698,           0.0051693,           0.0077499,             0.76503,             0.82564,             0.82784,             0.55515,             0.02007,           0.0045503,              0.0162,           0.0057488,           0.0057488,           0.0057488
                 106,            0.020822,           0.0051549,           0.0079077,             0.76357,              0.8273,             0.82811,             0.55502,             0.02004,           0.0045526,            0.016189,           0.0056862,           0.0056862,           0.0056862
                 107,            0.020779,           0.0051663,             0.00767,             0.76435,             0.82602,             0.82927,             0.55599,            0.020041,           0.0045511,            0.016176,           0.0056236,           0.0056236,           0.0056236
                 108,            0.020315,             0.00512,           0.0073973,             0.77369,              0.8185,             0.83105,             0.55557,            0.020064,           0.0045516,            0.016164,           0.0055611,           0.0055611,           0.0055611
                 109,            0.020662,           0.0051474,           0.0071826,             0.77362,             0.82051,             0.83092,             0.55606,            0.020047,            0.004552,            0.016179,           0.0054987,           0.0054987,           0.0054987
                 110,            0.020413,           0.0051313,           0.0071383,             0.77425,               0.823,              0.8313,             0.55635,            0.020039,           0.0045505,            0.016183,           0.0054364,           0.0054364,           0.0054364
                 111,            0.020171,           0.0051168,           0.0072424,              0.7733,             0.82166,             0.83113,             0.55711,            0.020023,           0.0045509,            0.016162,           0.0053743,           0.0053743,           0.0053743
                 112,            0.020169,           0.0050996,           0.0072538,             0.77286,             0.82304,             0.83165,             0.55725,            0.020042,           0.0045479,            0.016161,           0.0053123,           0.0053123,           0.0053123
                 113,            0.020285,           0.0050753,           0.0062908,             0.76991,             0.82379,              0.8303,             0.55814,            0.020009,           0.0045486,            0.016182,           0.0052505,           0.0052505,           0.0052505
                 114,            0.020046,           0.0050534,           0.0065907,             0.78911,             0.80296,             0.83031,             0.55828,            0.020032,           0.0045468,            0.016204,           0.0051889,           0.0051889,           0.0051889
                 115,            0.020176,           0.0050657,           0.0067897,             0.79232,             0.80221,             0.83129,             0.55906,            0.020027,           0.0045442,             0.01622,           0.0051274,           0.0051274,           0.0051274
                 116,             0.02011,           0.0050754,            0.006368,             0.79278,             0.80306,             0.83183,             0.55985,            0.019985,           0.0045467,            0.016234,           0.0050662,           0.0050662,           0.0050662
                 117,            0.019922,           0.0050374,           0.0060831,             0.79121,             0.80545,             0.83216,             0.55994,            0.020018,           0.0045456,            0.016237,           0.0050052,           0.0050052,           0.0050052
                 118,            0.019729,           0.0050268,           0.0059156,             0.79172,             0.80537,             0.83236,             0.56072,            0.020021,           0.0045445,            0.016246,           0.0049445,           0.0049445,           0.0049445
                 119,            0.019743,           0.0050037,           0.0059143,              0.7904,             0.80641,             0.83279,             0.56209,            0.019974,           0.0045474,            0.016234,            0.004884,            0.004884,            0.004884
                 120,            0.019631,           0.0050338,           0.0058171,             0.77947,             0.81901,              0.8332,             0.56194,            0.019995,           0.0045469,            0.016264,           0.0048238,           0.0048238,           0.0048238
                 121,            0.019757,           0.0050177,           0.0055998,             0.78228,             0.81611,             0.83355,             0.56153,            0.019986,           0.0045498,            0.016253,           0.0047639,           0.0047639,           0.0047639
                 122,            0.019441,           0.0049758,           0.0054203,             0.78252,             0.81655,             0.83385,              0.5621,            0.019996,           0.0045474,            0.016265,           0.0047043,           0.0047043,           0.0047043
                 123,            0.019512,           0.0050041,           0.0054114,              0.7851,             0.81541,             0.83468,             0.56287,            0.019974,            0.004548,            0.016258,            0.004645,            0.004645,            0.004645
                 124,            0.019346,           0.0049559,           0.0050399,              0.7869,             0.81596,             0.83549,             0.56317,            0.019978,           0.0045454,            0.016232,           0.0045861,           0.0045861,           0.0045861
                 125,            0.019347,           0.0049692,           0.0052746,             0.78692,             0.81677,             0.83583,              0.5648,             0.01997,           0.0045453,            0.016241,           0.0045275,           0.0045275,           0.0045275
